NU_ANO_CENSO,CO_IES,TP_CATEGORIA_ADMINISTRATIVA,TP_ORGANIZACAO_ACADEMICA,CO_DOCENTE_IES,ID_DOCENTE,TP_SITUACAO,TP_ESCOLARIDADE,TP_REGIME_TRABALHO,TP_SEXO,NU_ANO_NASCIMENTO,NU_MES_NASCIMENTO,NU_DIA_NASCIMENTO,NU_IDADE,TP_COR_RACA,CO_PAIS_ORIGEM,TP_NACIONALIDADE,CO_UF_NASCIMENTO,CO_MUNICIPIO_NASCIMENTO,IN_DEFICIENCIA,IN_DEFICIENCIA_CEGUEIRA,IN_DEFICIENCIA_BAIXA_VISAO,IN_DEFICIENCIA_SURDEZ,IN_DEFICIENCIA_AUDITIVA,IN_DEFICIENCIA_FISICA,IN_DEFICIENCIA_SURDOCEGUEIRA,IN_DEFICIENCIA_MULTIPLA,IN_DEFICIENCIA_INTELECTUAL,IN_ATUACAO_EAD,IN_ATUACAO_EXTENSAO,IN_ATUACAO_GESTAO,IN_ATUACAO_GRAD_PRESENCIAL,IN_ATUACAO_POS_EAD,IN_ATUACAO_POS_PRESENCIAL,IN_ATUACAO_SEQUENCIAL,IN_ATUACAO_PESQUISA,IN_BOLSA_PESQUISA,IN_SUBSTITUTO,IN_EXERCICIO_DATA_REFERENCIA,IN_VISITANTE,TP_VISITANTE_IFES_VINCULO
2018,693,1,1,560645,E6D577A893BC334BFA330765ECADE9EF,1,5,1,1,1951,10,30,67,0,76,1,33,3304557,0,,,,,,,,,0,1,0,1,0,0,0,0,,0,1,0,
2018,693,1,1,560641,AA8D7D7B0853D3834CAE8E3CD36A5BF9,1,5,1,2,1964,6,28,54,0,76,1,33,3304557,0,,,,,,,,,0,0,0,1,0,1,0,1,0,0,1,0,
2018,693,1,1,560639,F4209F7BD72E0628189F700CED3BD53A,1,5,1,1,1961,5,31,57,1,76,1,33,3304557,0,,,,,,,,,0,1,1,1,0,0,0,1,1,0,1,0,
2018,693,1,1,560640,FB3A6B980155D624627C533A79478349,1,5,1,2,1965,1,18,53,0,76,1,33,3304557,0,,,,,,,,,0,1,0,1,0,0,0,0,,0,1,0,
2018,693,1,1,560648,63B35942B571B09A66DC5113589BAFA5,1,5,1,2,1962,10,23,56,0,76,1,33,3304557,0,,,,,,,,,0,1,0,1,0,0,0,0,,0,1,0,
2018,693,1,1,560637,AF5E535FD1EFD998C315664DA07BFCBE,1,3,1,2,1947,8,20,71,0,76,1,33,3304557,0,,,,,,,,,0,0,0,1,0,0,0,0,,0,1,0,
2018,693,1,1,560638,D55335760ECC8B2C65EEA63CA59E8CE1,1,5,1,2,1958,7,26,60,0,76,1,33,3304557,0,,,,,,,,,0,1,1,1,0,1,0,1,1,0,1,0,
2018,693,1,1,560632,91D3500ED673E8CE517AE2C014077AF3,1,5,1,1,1968,2,23,50,0,76,1,33,3304557,0,,,,,,,,,0,1,1,1,0,1,0,1,1,0,1,0,
2018,693,1,1,560634,124D4CD4E3A7573F5B282384FD5301EF,1,5,1,2,1946,3,15,72,0,76,1,43,4316907,0,,,,,,,,,0,0,0,1,0,0,0,0,,0,1,0,
2018,693,1,1,560623,B623B7900EEA16C4E628BC62C13AC262,1,5,1,1,1964,9,8,54,0,76,1,33,3302502,0,,,,,,,,,0,0,1,1,0,0,0,1,1,0,1,0,
2018,693,1,1,560629,865602B6854D860A369E43DC7BD912ED,1,4,2,1,1955,12,31,63,0,76,1,33,3304557,0,,,,,,,,,0,0,0,1,0,0,0,0,,0,1,0,
2018,693,1,1,560622,6A5EEC6C0E8F388328903984D5C9B386,1,5,1,2,1978,7,28,40,1,76,1,41,4113700,0,,,,,,,,,0,1,1,1,0,0,0,1,0,0,1,0,
2018,693,1,1,560628,17E81D5E0DECF72A61EF1B5E241A8865,1,5,1,1,1950,5,23,68,0,76,1,33,3304557,0,,,,,,,,,0,1,0,1,0,1,0,1,1,0,1,0,
2018,693,1,1,560610,56BC01792A185E6DA624ADDEAF02FD6B,1,5,1,2,1968,9,16,50,0,76,1,33,3304557,0,,,,,,,,,0,1,0,1,0,0,0,0,,0,1,0,
2018,693,1,1,560613,BAC7E1E8B5787D97E8DAF3C7E1C761A6,1,5,1,2,1977,9,22,41,1,76,1,33,3306305,0,,,,,,,,,0,0,0,1,0,0,0,1,0,0,1,0,
2018,693,1,1,560617,E06F6EDD4748239AECE3144800B9200A,1,4,1,2,1949,7,2,69,0,76,1,33,3304557,0,,,,,,,,,0,1,0,1,0,0,0,1,0,0,1,0,
2018,693,1,1,560619,A2396DE5984148C6D174AC9DD16BE80B,1,5,1,1,1953,7,21,65,0,76,1,33,3304557,0,,,,,,,,,0,1,1,1,0,1,0,1,1,0,1,0,
